,OS: Windows 10 | Browser: Microsoft Edge 123 | Resolution: 1920x1040 | Time: 17 Apr 2024 / 8:52:57  PDT
#,Step,Data,Exp Result,XPath,cssSelector
1,Open website,https://datamakerjs-f3b6b7d13de0.herokuapp.com/,,,
2,Click on "defaultschemadefaultchoiceschemaexamplereferenceschemaexamplesequenceschemaexamplerangealphaschemaex",,,//select[@id='schemalist'],#schemalist
3,select "rangenumericschemaexample" from "defaultschemadefaultchoiceschemaexamplereferenceschemaexamplesequenceschemaexamplerangealphaschemaex",rangenumericschemaexample,,//select[@id='schemalist'],#schemalist
4,Enter "6" into "5",6,,//input[@id='numberofexamples'],#numberofexamples
5,Enter "7" into "5",7,,//input[@id='numberofexamples'],#numberofexamples
6,Double click on "5",,,//input[@id='numberofexamples'],#numberofexamples
7,Enter "8" into "5",8,,//input[@id='numberofexamples'],#numberofexamples
8,Enter "9" into "5",9,,//input[@id='numberofexamples'],#numberofexamples
9,Enter "10" into "5",10,,//input[@id='numberofexamples'],#numberofexamples
10,Enter "11" into "5",11,,//input[@id='numberofexamples'],#numberofexamples
11,Click on "defaultschemadefaultchoiceschemaexamplereferenceschemaexamplesequenceschemaexamplerangealphaschemaex",,,//select[@id='schemalist'],#schemalist
12,select "sequenceschemaexample" from "defaultschemadefaultchoiceschemaexamplereferenceschemaexamplesequenceschemaexamplerangealphaschemaex",sequenceschemaexample,,//select[@id='schemalist'],#schemalist
13,Enter "10" into "5",10,,//input[@id='numberofexamples'],#numberofexamples
14,Enter "9" into "5",9,,//input[@id='numberofexamples'],#numberofexamples
15,Double click on "5",,,//input[@id='numberofexamples'],#numberofexamples
16,Enter "8" into "5",8,,//input[@id='numberofexamples'],#numberofexamples
17,Enter "7" into "5",7,,//input[@id='numberofexamples'],#numberofexamples
18,Enter "6" into "5",6,,//input[@id='numberofexamples'],#numberofexamples
19,Enter "5" into "5",5,,//input[@id='numberofexamples'],#numberofexamples
20,Enter "4" into "5",4,,//input[@id='numberofexamples'],#numberofexamples
21,Click on "schemaexamplesbaseobjecttypesnetworktypes",,,//select[@id='namespacelist'],#namespacelist
22,select "baseobjecttypes" from "schemaexamplesbaseobjecttypesnetworktypes",baseobjecttypes,,//select[@id='namespacelist'],#namespacelist
