,OS: Windows 10 | Browser: Microsoft Edge 123 | Resolution: 1920x1040 | Time: 17 Apr 2024 / 7:46:56  PDT
#,Step,Data,Exp Result,XPath,cssSelector
1,Open website,https://datamakerjs-f3b6b7d13de0.herokuapp.com/,,,
2,Click on "defaultschemadefaultchoiceschemaexamplereferenceschemaexamplesequenceschemaexamplerangealphaschemaex",,,//select[@id='schemalist'],#schemalist
3,select "defaultchoiceschemaexample" from "defaultschemadefaultchoiceschemaexamplereferenceschemaexamplesequenceschemaexamplerangealphaschemaex",defaultchoiceschemaexample,,//select[@id='schemalist'],#schemalist
4,Enter "4" into "5",4,,//input[@id='numberofexamples'],#numberofexamples
5,Click on "Edit",,,//button[@id='editschemadef'],#editschemadef
6,Click on "schemadefjson",,,//textarea[@id='schemadefjson'],#schemadefjson
7,Enter "{ "SchemaName": "defaultcchoiceschemaexample", "RootSchemaObject": { "ObjectTypeName": "ChoiceSchemaObject", "ChoiceArray": [ "choice1", { "ObjectTypeName": "StaticSchemaObject", "StaticValue": "val1" } ] }, "Namespace": "schemaexamples" }" into "schemadefjson",{ "SchemaName": "defaultcchoiceschemaexample", "RootSchemaObject": { "ObjectTypeName": "ChoiceSchemaObject", "ChoiceArray": [ "choice1", { "ObjectTypeName": "StaticSchemaObject", "StaticValue": "val1" } ] }, "Namespace": "schemaexamples" },,//textarea[@id='schemadefjson'],#schemadefjson
8,Click on "bodyElement",,,//body,body
9,Click on "Save",,,//button[normalize-space()='Save'],button[type='button']
